order_id,customer_name,email,age,gender,country,signup_date,last_purchase_date,product,price,quantity,payment_method,phone,FLAG_missing_age,FLAG_missing_price,FLAG_missing_quantity,FLAG_missing_payment_method,FLAG_missing_country,FLAG_missing_gender,FLAG_missing_customer_name,FLAG_duplicate_row,FLAG_duplicate_order_id,FLAG_mixed_type_age,FLAG_mixed_type_price,FLAG_mixed_type_phone,FLAG_outlier_order_id,FLAG_outlier_quantity,FLAG_whitespace_customer_name,FLAG_whitespace_email,FLAG_whitespace_age,FLAG_whitespace_gender,FLAG_whitespace_country,FLAG_whitespace_signup_date,FLAG_whitespace_last_purchase_date,FLAG_whitespace_product,FLAG_whitespace_price,FLAG_whitespace_payment_method,FLAG_whitespace_phone
27,Steven Walker,dicksonkevin@example.com,61,M,Germany,18/04/2015,26/01/1994,consider,abc,,,202.626.3026,False,False,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
51,Linda Singh,amberlewis@example.net,28,Male,UK,25/09/2013,06/07/1995,owner,,,Credit Card,+1-283-484-4443x96681,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
44,Jessica Ware,rvargas@example.org,,M,,03/12/1977,18/01/1995,far,,,Debit Card,not_available,True,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,Samuel Wilson,parkerjames@example.org,thirty,,USA,02/04/2007,11/06/1988,activity,,2.0,cash,+1-978-722-4317x15955,False,True,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
4,Eric Lopez,hwhite@example.org,60,Male,UK,21/12/2001,08/05/2017,war,abc,2.0,PayPal,not_available,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
45,Madison Krause,dustin87@example.com,,Female,,23/10/2024,15/09/1986,kitchen,-10,3.0,cash,(423)846-8103,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
6,Kelly Moody,munozjohn@example.org,41,F,UK,04/09/1984,19/07/1974,line,142.12,2.0,PayPal,001-450-312-5863x118,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
7,Marie Moore,invalid_email,thirty,Female,UK,27/11/2017,16/04/1974,before,-10,-1.0,Credit Card,not_available,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
8,Ricardo King,james71@example.com,,Male,UK,30/08/1995,17/04/1996,religious,-10,-1.0,cash,+1-586-854-6118x670,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
9,Sharon Hardy,parkerhannah@example.com,,Female,USA,20/06/2023,15/02/2012,once,abc,-1.0,PayPal,921.610.1240x805,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
180,Charles Bryant,whawkins@example.com,,Male,Germany,13/03/2025,13/06/2025,specific,abc,3.0,cash,001-412-511-9609x8900,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
11,Michael Hughes,qbrown@example.net,54,Female,,07/10/2018,18/02/2000,under,abc,,cash,335-454-7636,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
132,Sarah King,dmcbride@example.com,61,F,Germany,06/02/2023,03/10/2010,financial,188.94,3.0,,665-803-4143,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
13,Nicole Dalton DVM,invalid_email,,,Kenya,02/02/1974,10/01/1971,a,-10,3.0,cash,001-307-239-0903x4950,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
95,Nathan Pratt,ustein@example.org,23,Male,Kenya,10/08/2008,12/11/1988,close,228.58,3.0,cash,not_available,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
15,Taylor Rodriguez,brettzavala@example.net,64,F,Kenya,21/02/2008,15/08/1979,develop,abc,,Debit Card,001-242-905-0075,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
16,Sarah Wheeler,andrea74@example.com,43,Female,,26/07/2024,13/01/1973,reach,abc,-1.0,Debit Card,702-552-4955,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
17,Doris Howard,mullenchelsea@example.com,thirty,F,USA,26/07/1995,30/12/1986,player,abc,,Debit Card,+1-429-765-9902x14890,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
16,Sara Davis,orozcosarah@example.com,68,Female,UK,19/09/1979,11/10/1986,threat,abc,-1.0,cash,983-920-8249x915,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
130,Stanley Davis,ssmith@example.com,thirty,M,Germany,26/11/1982,24/10/2000,recently,-10,-1.0,cash,+1-909-533-1325x47753,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
20,Robert Vance,mary22@example.net,thirty,Male,UK,07/06/1989,14/07/2022,growth,abc,1.0,Debit Card,512.525.7047,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
21,Lindsey Carson,dcooper@example.org,,F,UK,08/12/1985,03/03/1991,interesting,abc,1.0,Credit Card,(986)935-3992,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
184,Katie Ellis,xwatts@example.com,53,,Germany,04/02/1998,03/03/2021,tend,-10,-1.0,cash,474-510-6666x956,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
23,Mark White,heather52@example.com,30,M,Kenya,13/05/1978,10/06/2014,free,,,cash,(919)632-8791x6117,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,Stacey Carter,maria74@example.net,57,F,Germany,02/01/2011,07/10/1972,successful,-10,2.0,PayPal,+1-530-943-3784x169,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
172,Ashley Mendoza,carrollthomas@example.com,,M,Germany,24/02/1993,16/06/2010,everybody,-10,1.0,cash,(668)684-8103x90620,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
26,Crystal Johnston,michellebrown@example.net,63,Male,USA,31/01/2006,24/05/1995,ever,179.5,3.0,PayPal,001-859-394-0766x99467,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
177,Corey Hunt,vmurray@example.org,,F,USA,20/12/1981,26/09/2003,determine,155.57,2.0,Credit Card,001-914-592-9543x5042,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
28,Brandon Cohen,gtorres@example.org,thirty,M,Germany,08/02/1975,27/06/2014,any,abc,,Debit Card,not_available,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
19,Heather Boyle,nicoleandrade@example.net,thirty,M,,10/10/1987,13/02/2018,ahead,-10,2.0,Debit Card,922-853-5947x207,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
30,Stephen Dawson,robertherman@example.net,,,,24/09/1977,01/02/1994,plant,,1.0,cash,not_available,True,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
33,Mathew Martin,marcus37@example.net,thirty,Male,Kenya,09/02/2003,16/11/2010,open,abc,3.0,Debit Card,755-525-3313,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
115,Robin Smith,heatherbrown@example.com,,Female,Germany,29/03/2022,13/05/2013,level,-10,1.0,Debit Card,686-425-8494,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
33,Michael Thomas,kelly46@example.net,,Female,UK,22/09/1972,22/06/1988,paper,abc,1.0,Credit Card,not_available,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
31,Tina Stark,alex20@example.com,thirty,M,UK,31/01/2005,24/06/1997,small,abc,1.0,Credit Card,760.215.1124x266,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
113,Brian Jimenez,jessica15@example.net,thirty,Male,,24/12/2010,02/01/1993,situation,143.75,-1.0,Credit Card,968.864.4157,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
36,Nicole Duncan,kimmichael@example.org,58,Male,Germany,01/06/2006,27/02/1976,he,288.67,3.0,cash,+1-248-956-8371x93943,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
71,Lance Sampson,rmaddox@example.net,,F,Kenya,28/05/2013,30/04/2016,name,486.36,,Credit Card,not_available,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
38,Joshua Bishop,robertsmary@example.org,49,Female,,01/08/1991,29/05/1978,off,494.91,-1.0,PayPal,286-511-9578,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
39,Mr. Christopher Woods,ahall@example.net,64,M,Kenya,21/06/1978,21/12/2022,strategy,-10,1.0,cash,773-346-7690x61100,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
109,Andrea Ward,richard60@example.org,,Female,UK,06/02/2015,22/06/1984,effort,abc,,Debit Card,001-317-264-7611,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
41,Melissa Price,shelleyfranklin@example.com,66,F,Germany,26/02/2011,04/03/2015,miss,,3.0,,not_available,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
138,Dana Patterson,kellytorres@example.com,thirty,,Germany,26/06/1972,03/03/2009,remember,-10,1.0,,838.623.5293x252,False,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
43,Erin Flores,tracymcbride@example.org,49,F,Kenya,07/06/1971,01/01/1970,garden,215.62,1.0,Debit Card,not_available,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
161,Natalie Ortega,justin94@example.net,thirty,Female,UK,15/04/1973,21/01/1992,own,280.37,1.0,Debit Card,(566)732-2990x7208,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
45,Antonio Anderson,josephmason@example.org,thirty,Female,UK,15/06/2002,19/02/2010,cover,480.68,-1.0,Credit Card,447.964.8466,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
46,Cassie Williams,lmiller@example.net,18,M,Kenya,10/02/2015,27/02/2001,husband,abc,1.0,PayPal,001-698-235-0695,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
25,Sharon Diaz,amy63@example.org,thirty,F,Germany,11/03/1977,08/05/1974,response,31.07,-1.0,PayPal,001-719-920-1870,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
81,Kerry Jackson,donna02@example.net,20,F,Germany,28/01/1992,11/07/2002,option,-10,2.0,Debit Card,+1-701-880-1384x2859,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
49,Oscar Castro,brandongarrison@example.com,thirty,F,,15/07/1991,04/09/2009,each,240.73,2.0,PayPal,920.328.0991,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
